0.113139,0.121640,0.062254,0.107649,0.072946,0.117664,0.078386,0.083939,0.098220,0.144164
0.127811,0.094231,0.052929,0.076720,0.058801,0.096875,0.061198,0.269373,0.095316,0.066747
0.051556,0.060437,0.449868,0.038147,0.043944,0.150109,0.073621,0.041311,0.030124,0.060883
0.100606,0.060201,0.370189,0.049907,0.065524,0.075634,0.073730,0.044521,0.077616,0.082073
0.084778,0.065827,0.101257,0.076003,0.155078,0.117431,0.080851,0.099934,0.130292,0.088548
0.068081,0.168124,0.085282,0.050024,0.036207,0.207260,0.234220,0.055565,0.043306,0.051931
0.104118,0.117404,0.045152,0.086327,0.063730,0.072414,0.095394,0.323376,0.036948,0.055137
0.022579,0.022961,0.019512,0.018647,0.024115,0.033308,0.757127,0.037310,0.038587,0.025853
0.074230,0.129117,0.232184,0.055552,0.158280,0.076077,0.079446,0.083107,0.057429,0.054577
0.071504,0.094590,0.200204,0.046279,0.056909,0.112545,0.061620,0.224058,0.043486,0.088805
0.092419,0.166843,0.072042,0.084063,0.064404,0.125802,0.069070,0.112364,0.096158,0.116833
0.105963,0.146245,0.063506,0.103505,0.073634,0.137744,0.064293,0.076414,0.068217,0.160479
0.081709,0.045141,0.031965,0.047004,0.125633,0.140070,0.177681,0.213655,0.086485,0.050656
0.087705,0.108065,0.056452,0.110773,0.146696,0.127775,0.075501,0.105476,0.093208,0.088349
0.078681,0.084426,0.065621,0.088552,0.059859,0.083534,0.351267,0.072603,0.047921,0.067535
0.024132,0.019903,0.065792,0.024531,0.041140,0.024691,0.750361,0.012818,0.014287,0.022344
0.094804,0.059823,0.080908,0.080611,0.062063,0.268343,0.086026,0.093461,0.103233,0.070728
0.082475,0.152646,0.158651,0.079835,0.066120,0.215890,0.059292,0.052059,0.071653,0.061378
0.027722,0.026522,0.066094,0.033353,0.028288,0.073152,0.659981,0.024846,0.031668,0.028373
0.090475,0.087178,0.215430,0.071946,0.144329,0.099761,0.054941,0.063904,0.094863,0.077175
0.086499,0.051240,0.069314,0.041923,0.059958,0.180139,0.057016,0.260093,0.093609,0.100208
0.134391,0.197403,0.064755,0.085899,0.072394,0.123984,0.083352,0.071476,0.082417,0.083930
0.133185,0.119970,0.090994,0.066620,0.077812,0.153645,0.076119,0.091960,0.094143,0.095551
0.120015,0.132749,0.171638,0.102231,0.070726,0.093242,0.067108,0.082273,0.077990,0.082030
0.087603,0.047132,0.320696,0.090357,0.106110,0.071398,0.056023,0.070385,0.084019,0.066276
